"rent_num","rent_name","lon","lat","n","rank","return_num","return_name","type","순위"
2102,"봉림교 교통섬",37.48423,126.926392,11336,1,NA,NA,"rent","1"
2183,"동방1교",37.471828,126.933922,10736,2,NA,NA,"rent","2"
183,"하늘채코오롱아파트 건너편",37.565166,126.919395,8934,3,NA,NA,"rent","3"
590,"건국대학교 (입학정보관)",37.53989,127.073364,8013,4,NA,NA,"rent","4"
502,"뚝섬유원지역 1번출구 앞",37.53186,127.067192,7410,5,NA,NA,"rent","5"
548,"자양나들목",37.52977,127.07486,6822,6,NA,NA,"rent","6"
592,"건국대학교 학생회관",37.541912,127.077637,6784,7,NA,NA,"rent","7"
113,"홍대입구역 2번출구 앞",37.557499,126.923805,6486,8,NA,NA,"rent","8"
593,"자양중앙나들목",37.528587,127.077873,5847,9,NA,NA,"rent","9"
3533,"건대입구역 사거리(롯데백화점)",37.539139,127.070618,5638,10,NA,NA,"rent","10"
2102,NA,37.471828,126.933922,11336,1,2183,"동방1교","return","1"
2183,NA,37.48423,126.926392,10736,2,2102,"봉림교 교통섬","return","2"
183,NA,37.557499,126.923805,8934,3,113,"홍대입구역 2번출구 앞","return","3"
590,NA,37.541912,127.077637,8013,4,592,"건국대학교 학생회관","return","4"
502,NA,37.539139,127.070618,7410,5,3533,"건대입구역 사거리(롯데백화점)","return","5"
548,NA,37.53186,127.067192,6822,6,502,"뚝섬유원지역 1번출구 앞","return","6"
592,NA,37.53989,127.073364,6784,7,590,"건국대학교 (입학정보관)","return","7"
113,NA,37.565166,126.919395,6486,8,183,"하늘채코오롱아파트 건너편","return","8"
593,NA,37.53186,127.067192,5847,9,502,"뚝섬유원지역 1번출구 앞","return","9"
3533,NA,37.53186,127.067192,5638,10,502,"뚝섬유원지역 1번출구 앞","return","10"
